date,station,daily_rainfall_total,mean_temperature,maximum_temperature,minimum_temperature,mean_wind_speed,max_wind_speed
2009-01-24,Admiralty,0.0,26.8,31.4,24.4,11.7,38.2
2009-01-25,Admiralty,0.8,25.9,27.8,24.4,12.7,38.2
2009-01-26,Admiralty,0.0,25.9,29.6,23.7,12.4,42.5
2009-01-27,Admiralty,0.0,26.370793224994657,30.2,23.7,10.4,38.9
2009-01-28,Admiralty,0.0,26.6,31.9,23.7,10.3,32.4
2009-01-29,Admiralty,0.0,26.3,30.0,23.9,11.3,33.5
2009-01-30,Admiralty,0.0,26.5,30.9,24.2,9.6,31.3
2009-01-31,Admiralty,0.0,26.4,29.9,24.8,11.4,41.8
2009-02-01,Admiralty,0.0,26.2,29.1,24.7,13.3,41.4
2009-02-02,Admiralty,0.0,26.7,31.0,23.8,9.9,40.7
2009-02-03,Admiralty,0.0,26.2,30.4,23.5,10.7,31.7
2009-02-04,Admiralty,2.8,26.1,30.4,23.9,8.8,41.4
2009-02-05,Admiralty,0.0,26.2,30.0,23.9,11.0,33.5
2009-02-06,Admiralty,0.0,26.3,30.4,23.7,11.6,35.3
2009-02-07,Admiralty,0.0,26.0,30.4,23.6,11.1,35.3
2009-02-08,Admiralty,0.0,26.8,31.9,23.8,11.3,32.0
2009-02-09,Admiralty,0.0,26.8,31.8,23.7,13.4,38.2
2009-02-10,Admiralty,0.0,27.1,32.0,24.0,10.8,28.1
2009-02-11,Admiralty,21.6,26.4,32.0,24.4,8.6,30.2
2009-02-12,Admiralty,0.2,27.1,32.0,24.7,6.5,31.0
2009-02-13,Admiralty,0.0,28.0,33.0,25.4,9.0,29.2
2009-02-14,Admiralty,0.0,27.8,31.9,24.9,8.1,32.4
2009-02-15,Admiralty,0.0,28.6,32.6,25.5,8.5,40.3
2009-02-16,Admiralty,22.0,27.4,33.4,26.0,8.3,38.2
2009-02-17,Admiralty,0.0,27.8,32.1,25.1,12.0,38.2
2009-02-18,Admiralty,0.0,27.4,32.4,24.6,12.2,40.0
2009-02-19,Admiralty,0.0,27.3,32.1,24.4,12.9,39.6
2009-02-20,Admiralty,0.0,27.4,32.1,24.5,11.5,36.7
2009-02-21,Admiralty,0.4,26.9,31.6,25.2,8.6,34.9
2009-02-22,Admiralty,14.6,26.1,31.7,23.1,8.5,41.4
2009-02-23,Admiralty,28.8,25.9,30.9,23.4,6.9,47.5
2009-02-24,Admiralty,7.8,25.0,27.8,23.4,6.9,29.9
2009-02-25,Admiralty,39.4,26.3,32.6,23.0,6.3,42.8
2009-02-26,Admiralty,2.0,26.0,30.6,24.2,6.6,27.4
2009-02-27,Admiralty,0.0,26.9,31.1,24.7,7.6,26.3
2009-02-28,Admiralty,8.4,26.8,33.1,24.2,6.9,40.0
2009-03-01,Admiralty,9.2,26.6,32.1,24.1,7.5,38.5
2009-03-02,Admiralty,41.2,27.0,32.9,23.9,7.4,30.2
2009-03-03,Admiralty,2.6,25.2,27.3,22.2,7.8,47.5
2009-03-04,Admiralty,10.2,27.2,34.1,24.0,6.9,36.4
2009-03-05,Admiralty,21.6,27.1,31.9,23.5,8.0,44.6
2009-03-06,Admiralty,0.0,27.7,32.8,23.5,7.4,34.2
2009-03-07,Admiralty,1.8,27.2,32.2,25.6,5.9,36.7
2009-03-08,Admiralty,0.0,27.9,33.6,24.6,7.9,31.0
2009-03-09,Admiralty,142.0,24.8,28.4,22.9,9.6,35.3
2009-03-10,Admiralty,0.0,27.0,32.2,22.7,6.5,32.0
2009-03-11,Admiralty,3.8,26.6,31.2,25.0,6.2,37.4
2009-03-12,Admiralty,1.4,27.5,34.0,24.4,7.2,31.7
2009-03-13,Admiralty,0.8,26.3,30.5,25.1,7.5,40.7
2009-03-14,Admiralty,20.4,26.1,33.6,23.9,7.4,40.0
2009-03-15,Admiralty,2.8,25.8,31.6,23.7,6.6,31.3
2009-03-16,Admiralty,5.2,25.5,28.6,24.2,5.2,25.9
2009-03-17,Admiralty,1.6,27.3,33.2,24.0,6.5,26.3
